address,id,chain,symbol,avg_price,avg_volume,median_market_cap,consistency_count,avg_price_change
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,23,sol,RAY,5.457593999999999,21060393.6,3030760000.0,5,1.2402573399999999
HWeZgfKdPWRkLBGnmze5YokeZg9tQ2MYceYUChDNpump,160029017,sol,BFC,0.0037374860000000004,8030433.9799999995,3739850.0,5,13143.3605216
J3TqbUgHurQGNxWtT88UQPcMNVmrL875pToQZdrkpump,158309964,sol,YODA,0.000632979,67226.96846,632928.0,5,3.1608652399999997
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,158355041,sol,TRUMP,18.0383,96548859.0,18038300000.0,4,-1.8642425
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,151480714,sol,Fartcoin ,0.7062309999999999,95107863.75,706800000.0,4,9.886442500000001
CxyCkqPqRbX5WEhrqZrBbqPW5PLUWdE235qjsd7Vd1Lz,159966376,sol,PUSHEEN,0.03939845,74169954.0,39343200.0,4,-23.798109999999998
3CvQPN2bSAVeroh9DLVT42wynjByUapvLPj3maJg6AyB,160021992,sol,PDOGE,0.0273014,42711273.75,27328650.0,4,2109.389115
AeBESHJNBV2vbtStqLdvL3Vz6bTVnktx8h9RMgubTf8L,159939097,sol,ZILLION,0.024331,29760596.25,24331000.0,4,5.176220000000001
CQDWVMgPWQc9dVrcjBVoXFTjjrhqX1jHwMYTofacuJQE,160006575,sol,Gumball,0.013106,29650895.25,13106000.0,4,1039.59822
7aavARZ1uL2zgum7b8qiUpr1f7yjLjwfBnqAaRm6QeaR,159944269,sol,AiZUKi,0.0056207125,27179951.25,5609590.0,4,-43.381027499999995
BtMHfHdhnyBtqm6YNUZZeapC3aTnX722mGzwrQS8zh4B,160006796,sol,Asshole,0.00619646,18381708.275,6196460.0,4,419.41571
